time_s,segment,joint1_pos,joint2_pos,joint3_pos,joint1_vel,joint2_vel,joint3_vel,joint1_acc,joint2_acc,joint3_acc,gripper_pos
2.16,1,3.65687242980338,-2.36282564625362,-15.2813513846154,-0.0653372699118828,0.0124417606047693,0.165415384615385,-0.0302487360703161,0.00576007435405986,0.0765811965811966,0
2.18,1,3.65555963465793,-2.36257565902665,-15.2780277606838,-0.0659422446332891,0.0125569620918505,0.166947008547009,-0.0302487360703161,0.00576007435405986,0.0765811965811966,0
2.2,1,3.65423474001805,-2.36232336776995,-15.2746735042735,-0.0665472193546954,0.0126721635789317,0.168478632478633,-0.0302487360703161,0.00576007435405986,0.0765811965811966,0
2.22,1,3.65289774588374,-2.3620687724835,-15.2712886153846,-0.0671521940761017,0.0127873650660129,0.170010256410256,-0.0302487360703161,0.00576007435405986,0.0765811965811966,0
2.24,1,3.65154865225501,-2.3618118731673,-15.2678730940171,-0.0677571687975081,0.0129025665530941,0.17154188034188,-0.0302487360703161,0.00576007435405986,0.0765811965811966,0
2.26,1,3.65018745913184,-2.36155266982137,-15.2644269401709,-0.0683621435189144,0.0130177680401753,0.173073504273504,-0.0302487360703161,0.00576007435405986,0.0765811965811966,0
2.28,1,3.64881416651425,-2.3612911624457,-15.2609501538462,-0.0689671182403207,0.0131329695272565,0.174605128205128,-0.0302487360703161,0.00576007435405986,0.0765811965811966,0
2.3,1,3.64742877440223,-2.36102735104028,-15.2574427350427,-0.069572092961727,0.0132481710143377,0.176136752136752,-0.0302487360703161,0.00576007435405986,0.0765811965811966,0
2.32,1,3.64603128279578,-2.36076123560512,-15.2539046837607,-0.0701770676831333,0.0133633725014189,0.177668376068376,-0.0302487360703161,0.00576007435405986,0.0765811965811966,0
2.34,1,3.6446216916949,-2.36049281614022,-15.250336,-0.0707820424045397,0.0134785739885001,0.1792,-0.0302487360703161,0.00576007435405986,0.0765811965811966,0
2.36,1,3.6432000010996,-2.36022209264558,-15.2467366837607,-0.071387017125946,0.0135937754755813,0.180731623931624,-0.0302487360703161,0.00576007435405986,0.0765811965811966,0
2.38,1,3.64176621100987,-2.3599490651212,-15.2431067350427,-0.0719919918473523,0.0137089769626625,0.182263247863248,-0.0302487360703161,0.00576007435405986,0.0765811965811966,0
2.4,1,3.6403203214257,-2.35967373356708,-15.2394461538462,-0.0725969665687586,0.0138241784497437,0.183794871794872,-0.0302487360703161,0.00576007435405986,0.0765811965811966,0
2.42,1,3.63886233234711,-2.35939609798321,-15.2357549401709,-0.073201941290165,0.0139393799368249,0.185326495726496,-0.0302487360703161,0.00576007435405986,0.0765811965811966,0
2.44,1,3.6373922437741,-2.3591161583696,-15.2320330940171,-0.0738069160115713,0.0140545814239061,0.18685811965812,-0.0302487360703161,0.00576007435405986,0.0765811965811966,0
